PassengerId,Survived,Name,Age,SibSp,Parch,Ticket,Fare,Pclass_1,Pclass_2,Pclass_3,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S
-1.730107956920867,0,108,-0.5657364610748746,1,0,523,-0.3120106021758714,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
-1.7262200738716067,1,190,0.6638610320657843,1,0,596,2.4612422909015312,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
-1.7223321908223463,1,353,-0.2583370877897099,0,0,669,-0.2827766613540295,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
-1.718444307773086,1,272,0.4333115021019107,1,0,49,1.6737318966114614,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
-1.7145564247238256,0,15,0.4333115021019107,0,0,472,-0.277362968609244,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
-1.7106685416745653,0,554,-0.10463740114712752,0,0,275,-0.25967968262767654,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
-1.7067806586253047,0,515,1.893458525206443,0,0,85,1.6201363384380845,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-1.7028927755760443,0,624,-2.1027333275006983,3,1,395,0.2867438153974083,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
-1.699004892526784,1,412,-0.1814872444684187,0,2,344,-0.14382665788926616,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
-1.6951170094775236,1,576,-1.180535207645204,1,0,132,0.6763477929457417,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
-1.6912291264282633,1,727,-1.949033640858116,1,1,616,0.09726456932991473,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
-1.687341243379003,1,95,2.200857898491608,0,0,38,0.5238635576190146,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
-1.6834533603297426,0,729,-0.719436147717457,0,0,535,-0.277362968609244,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
-1.6795654772804822,0,28,0.7407108753870755,1,5,333,0.7285011433719076,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
-1.6756775942312219,0,840,-1.180535207645204,0,0,413,-0.2858429769246761,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
-1.6717897111819615,1,359,1.9703083685277343,0,0,153,0.06694788995911578,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
-1.667901828132701,0,682,-2.1027333275006983,4,1,480,0.6353856281615965,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
-1.6640139450834406,1,867,-0.10463740114712752,0,0,151,-0.06298073591573695,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
-1.6601260620341802,0,839,0.12591212881674602,1,0,301,0.15356697387568427,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
-1.6562381789849199,1,512,-0.10463740114712752,0,0,184,-0.31309334072482853,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
-1.6523502959356595,0,273,0.4333115021019107,0,0,139,0.5000433095419583,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
-1.6484624128863992,1,80,0.35646165878061953,0,0,152,-0.06298073591573695,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
-1.6445745298371388,1,523,-1.1036853643239128,0,0,278,-0.27826380708197634,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
-1.6406866467878785,1,765,-0.10463740114712752,0,0,42,0.9114839581456586,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-1.636798763738618,0,626,-1.6416342675729512,3,1,395,0.2867438153974083,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
-1.6329108806893577,1,44,0.6638610320657843,1,5,329,0.7333734668422146,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
-1.6290229976400974,0,240,-0.10463740114712752,0,0,179,-0.31309334072482853,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
-1.6251351145908368,0,260,-0.7962859910387481,3,2,95,10.764404753655324,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-1.6212472315415765,1,605,-0.10463740114712752,0,0,283,-0.28476023837571895,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
-1.617359348492316,0,813,-0.10463740114712752,0,0,362,-0.2840412999792114,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
-1.6134714654430558,0,828,0.8175607187083667,0,0,598,0.5745703693437738,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
-1.6095835823937954,1,776,-0.10463740114712752,1,0,586,5.719743953987942,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
-1.605695699344535,1,289,-0.10463740114712752,0,0,288,-0.29035583119672925,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
-1.6018078162952747,0,856,2.8156566450619374,0,0,549,-0.1712545908114476,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
-1.5979199332460143,0,535,-0.10463740114712752,1,0,600,2.9327749289723513,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
-1.594032050196754,0,372,0.9712604053509489,1,0,43,1.6260914004573488,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-1.5901441671474936,1,505,-0.10463740114712752,0,0,202,-0.3129114406486037,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
-1.5862562840982333,0,134,-0.6425863043961658,0,0,514,-0.277362968609244,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
-1.5823684010489727,0,837,-0.8731358343600393,2,0,302,0.15356697387568427,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
-1.5784805179997123,1,589,-1.180535207645204,1,0,186,-0.13913190354098817,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
-1.574592634950452,0,7,0.8175607187083667,1,0,507,-0.21564687131868895,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
-1.5707047519011916,0,827,-0.1814872444684187,1,0,53,0.283495599750537,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
-1.5668168688519313,0,446,-0.10463740114712752,0,0,391,-0.2840412999792114,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
-1.562928985802671,1,456,-2.025883484179407,1,2,634,1.1747713256184602,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
-1.5590411027534106,1,212,-0.7962859910387481,0,0,282,-0.28476023837571895,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
-1.5551532197041502,0,697,-0.10463740114712752,0,0,617,-0.277362968609244,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
-1.5512653366548899,0,473,-0.10463740114712752,1,0,462,0.04529311897997366,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
-1.5473774536056295,1,604,-0.10463740114712752,0,0,76,-0.29035583119672925,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
-1.543489570556369,0,726,-0.10463740114712752,2,0,190,0.31291144064860377,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
-1.5396016875071086,0,38,-0.8731358343600393,1,0,377,0.14490506548402746,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
-1.5357138044578482,0,629,-1.7184841108942424,4,1,249,1.092842665095974,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
-1.5318259214085879,0,594,-0.6425863043961658,0,0,522,-0.28819035409881505,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
-1.5279380383593275,1,333,1.5092093085999871,1,0,587,2.6971017254521517,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
-1.5240501553100672,1,246,-0.027787557825836348,1,0,239,0.5000433095419583,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
-1.5201622722608068,0,620,2.738806801740646,0,1,29,2.058285981567459,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
-1.5162743892115464,1,873,-0.10463740114712752,0,0,94,0.9114839581456586,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-1.512386506162286,1,707,-0.6425863043961658,0,0,555,-0.1712545908114476,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
-1.5084986231130257,0,595,-0.06621247948648194,0,0,215,-0.3129114406486037,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
-1.5046107400637654,1,853,-1.8721837975368247,1,2,561,0.5758350079689557,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
-1.5007228570145048,0,299,-1.4110847376090776,5,2,566,1.405212736470099,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
-1.4968349739652445,0,749,-0.5657364610748746,0,0,197,-0.3129114406486037,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
